ILILCE_ENG,NO_DP,MIN_MMI,MAX_MMI,AV_MMI,DISTANCE,CALC_MMI
BURSA_NILUFER,4,2,2,2.0,103.08886077698632,1
BALIKESIR_ERDEK,1,3,3,3.0,62.288914071176244,1
BURSA_ORHANGAZI,1,2,2,2.0,137.29575190895386,1
BURSA_GEMLIK,1,2,2,2.0,115.5042956420434,1
KOCAELI_CAYIROVA,1,2,2,2.0,131.5762373476558,1
KOCAELI_DILOVASI,1,2,2,2.0,154.0772934548617,1
KOCAELI_IZMIT,1,2,2,2.0,203.74577706752748,1
ISTANBUL_TUZLA,3,2,3,2.33,128.59231727930123,1
ISTANBUL_MALTEPE,7,2,4,2.57,105.83642762040611,1
ISTANBUL_BAKIRKOY,4,2,4,2.75,70.1467615042748,2
ISTANBUL_ATASEHIR,8,2,3,2.5,102.73635761667343,1
ISTANBUL_KADIKOY,12,2,4,2.58,95.20748102143658,1
ISTANBUL_BEYLIKDUZU,7,2,4,2.57,49.648408031857365,2
ISTANBUL_BAHCELIEVLER,9,2,4,2.78,71.44201998842009,2
ISTANBUL_ZEYTINBURNU,1,3,3,3.0,78.72116444878735,1
ISTANBUL_GUNGOREN,1,4,4,4.0,75.8670006023984,2
ISTANBUL_FATIH,2,2,3,2.5,83.29532694259551,1
KOCAELI_GEBZE,1,2,2,2.0,148.78614011647096,1
ISTANBUL_PENDIK,2,2,3,2.5,126.84875016872866,1
ISTANBUL_KUCUKCEKMECE,7,2,3,2.57,65.46297783731968,2
ISTANBUL_BEYOGLU,5,2,3,2.4,85.79588622069187,1
ISTANBUL_UMRANIYE,6,1,3,2.0,103.53800261969059,1
ISTANBUL_BAGCILAR,4,2,3,2.75,71.87524246542614,2
ISTANBUL_USKUDAR,5,2,4,2.4,95.29172393691802,1
ISTANBUL_GAZIOSMANPASA,1,3,3,3.0,80.25487123132872,1
ISTANBUL_ESENYURT,2,2,4,3.0,53.148934511589296,2
ISTANBUL_AVCILAR,5,2,4,2.8,58.35547109554313,2
ISTANBUL_BESIKTAS,3,2,4,3.0,92.57236320334395,1
ISTANBUL_ESENLER,1,2,2,2.0,75.7113381305372,1
ISTANBUL_SISLI,7,1,4,2.43,88.96825371629336,1
ISTANBUL_KAGITHANE,2,2,2,2.0,88.19281345254443,1
ISTANBUL_BUYUKCEKMECE,7,2,3,2.57,40.7228670338824,3
ISTANBUL_CEKMEKOY,1,3,3,3.0,120.7071051851226,1
ISTANBUL_BASAKSEHIR,6,2,5,2.67,65.65229459069292,2
ISTANBUL_BEYKOZ,2,2,3,2.5,113.58866384151911,1
ISTANBUL_SARIYER,3,2,2,2.0,95.85093017633234,1
ISTANBUL_EYUP,1,3,3,3.0,82.47409774379258,1
TEKIRDAG_CERKEZKOY,1,2,2,2.0,49.040522997147825,2
ISTANBUL_SILIVRI,13,2,5,3.46,33.604959281447144,3
ISTANBUL_ARNAVUTKOY,2,2,2,2.0,64.95034667461992,2
ISTANBUL_CATALCA,1,2,2,2.0,51.92199592997253,2
