Topic,Mw,Mw_Guess,Datapoints
16-kasim-2015-istanbul-depremi--4966334,3.9,4.4,4
8-ocak-2013-ege-denizi-depremi--3673799,5.7,6.5,3
24-eylul-2019-istanbul-depremi--6189374,4.5,4.4,9
19-mayis-2011-simav-depremi--2814519,5.7,4.3,2
15-ekim-2016-istanbul-depremi--5208242,4.9,4.5,6
20-aralik-2018-yalova-depremi--5881852,4.4,4.3,2
25-agustos-2019-ankara-depremi--6155192,3.5(ml),3.9,5
6-subat-2017-canakkale-depremi--5296414,5.3,0,0
6-subat-2017-canakkale-depremi--5296414-2,5.1,0,0
7-haziran-2012-tekirdag-depremi--3418720,5.1,4.5,1
25-ocak-2019-izmir-depremi--5919561,4.2,4.6,13
10-ekim-2019-yalova-depremi--6208576,4,4.5,15
8-agustos-2019-izmir-depremi--6135297,4.6,4.5,16
17-haziran-2017-izmir-depremi--5392358-2,5.2,5.2,8
25-haziran-2016-yalova-depremi--5137587,4.1,4.4,6
20-agustos-2019-ankara-depremi--6148327,3.2(ml),4.6,7
26-eylul-2019-istanbul-depremi--6191375,5.6,6,1
30-kasim-2018-yalova-depremi--5861331,4,4.5,2
20-subat-2019-canakkale-depremi--5947040,5,4.3,5
10-aralik-2019-balikesir-depremi--6277350,4.6,4,12
12-haziran-2017-izmir-depremi--5388936,6.2,5.6,9
